Problema,Maquinas,Tareas,Costo PULP,Costo VOGEL,Tiempo PULP,Tiempo VOGEL
1_(4x8),4,8,1920.0,2330.0,0.148271,0.001995
2_(4x8),4,8,1980.0,1990.0,0.164008,0.002001
3_(4x8),4,8,2400.0,2430.0,0.281069,0.000999
4_(4x8),4,8,2960.0,2990.0,0.105604,0.001994
5_(4x8),4,8,2090.0,2360.0,0.133004,0.003
6_(6x8),6,8,1550.0,1550.0,0.118911,0.002005
7_(6x8),6,8,2450.0,2910.0,0.163668,0.001997
8_(6x8),6,8,1590.0,1720.0,0.180957,0.001993
9_(6x8),6,8,2010.0,2420.0,0.131338,0.001997
10_(6x8),6,8,1440.0,2070.0,0.150824,0.005997
11_(4x16),4,16,4510.0,4990.0,0.14711,0.002989
12_(4x16),4,16,3820.0,3860.0,0.104136,0.003999
13_(4x16),4,16,4360.0,5330.0,0.138399,0.003995
14_(4x16),4,16,3790.0,4160.0,0.116224,0.002996
15_(4x16),4,16,4380.0,4640.0,0.141005,0.006003
16_(6x16),6,16,3330.0,4520.0,0.134361,0.003998
17_(6x16),6,16,3180.0,3890.0,0.14327,0.004993
18_(6x16),6,16,4360.0,4590.0,0.144995,0.004
19_(6x16),6,16,3630.0,3760.0,0.301188,0.003985
20_(6x16),6,16,3770.0,4470.0,0.181058,0.0
21_(4x32),4,32,7800.0,7980.0,0.146903,0.008012
22_(4x32),4,32,7220.0,7430.0,0.115006,0.010004
23_(4x32),4,32,7500.0,7620.0,0.422707,0.008
24_(4x32),4,32,8520.0,8820.0,0.176926,0.008811
25_(4x32),4,32,7960.0,8060.0,0.153403,0.006998
26_(6x32),6,32,7700.0,7970.0,0.178004,0.015634
27_(6x32),6,32,7650.0,8470.0,0.129997,0.009
28_(6x32),6,32,6570.0,7880.0,0.174005,0.007997
29_(6x32),6,32,6710.0,7180.0,0.147191,0.007999
30_(6x32),6,32,7290.0,8690.0,0.206992,0.008988
31_(6x48),6,48,10370.0,10910.0,0.327809,0.011997
32_(6x48),6,48,10460.0,11190.0,0.266793,0.021349
33_(6x48),6,48,10710.0,11110.0,0.201135,0.013514
34_(6x48),6,48,10750.0,11100.0,0.336082,0.012995
35_(6x48),6,48,10420.0,11440.0,0.202231,0.013526
36_(8x48),8,48,9690.0,10180.0,0.206002,0.015996
37_(8x48),8,48,8670.0,10130.0,0.228318,0.019995
38_(8x48),8,48,10040.0,10450.0,0.387021,0.014999
39_(8x48),8,48,9270.0,9670.0,0.222852,0.014996
40_(8x48),8,48,10370.0,11510.0,0.194835,0.017002
41_(10x48),10,48,8490.0,10600.0,0.398062,0.017997
42_(10x48),10,48,8920.0,9710.0,0.25123,0.016995
43_(10x48),10,48,8190.0,9600.0,0.251516,0.019997
44_(10x48),10,48,7720.0,8880.0,0.300164,0.022996
45_(10x48),10,48,8770.0,10080.0,0.231045,0.015631
46_(6x64),6,64,14090.0,15720.0,0.265999,0.016996
47_(6x64),6,64,12790.0,13180.0,0.256947,0.018001
48_(6x64),6,64,14070.0,14380.0,0.241019,0.0192
49_(6x64),6,64,13850.0,14480.0,0.272104,0.015996
50_(6x64),6,64,15310.0,15750.0,0.222733,0.018997
51_(8x64),8,64,12850.0,13310.0,0.245942,0.018682
52_(8x64),8,64,13000.0,14160.0,0.22347,0.020014
53_(8x64),8,64,12570.0,13920.0,0.252466,0.016039
54_(8x64),8,64,12990.0,14210.0,0.231941,0.068863
55_(8x64),8,64,12830.0,13270.0,0.237099,0.023996
56_(10x64),10,64,10870.0,12140.0,0.244994,0.028008
57_(10x64),10,64,10740.0,11530.0,0.459512,0.021097
58_(10x64),10,64,12670.0,13920.0,0.254551,0.015621
